account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x3250a2576611f3bfbdead0005b9e3a2a1f6faf50,13926795,14868619,2022-01-02,2022-05-29,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1778.7451544691144,870.1207988934852,644.4397289359437,-908.6243555756291,-1134.3054255331708,-0.5108232358596743,-0.6376997979070905,0.3501973261800157,39.61989425609081
0x333345727be2ec482baf99a25cb1765cb7b78de6,12079074,12122897,2021-03-21,2021-03-27,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,77024.02025338146,108162.30934927995,119622.93769379982,31138.289095898494,42598.91744041836,0.4042672531693966,0.5530601661700228,-0.09580627733667404,0
0x3584edc284e153462ef2e831ecb51ec501715ae7,12497147,13035214,2021-05-24,2021-08-16,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,26734.36423722726,5314.021412107571,63681.28853080747,-21420.34282511969,36946.92429358021,-0.8012288092975159,1.382001231289132,-0.9165528598006183,0
0x3c229864378b3b0adf98ae247ca33986aed8ec1e,12734555,14779557,2021-06-30,2022-05-15,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8858.051687391438,5570.6757805802035,4072.031497682521,-3287.375906811235,-4786.020189708917,-0.37111726402437795,-0.5403016779097535,0.36803356844135227,179.04486130453463
0x3c38bbfe05dc772842c114526b61f2347b609bbc,13915176,13927718,2021-12-31,2022-01-02,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,21688.556048814167,22920.95759703979,23933.539211571726,1232.4015482256218,2244.9831627575586,0.056822664701692026,0.10351003348055088,-0.04230806006503039,36.218284336849536
0x3cacb4468b53fba62bb30ed5975a78864ecf5ff9,11737588,11874602,2021-01-27,2021-02-17,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2585.6888154513167,2749.8748715870593,2785.103894762099,164.18605613574255,199.4150793107824,0.06349799525550597,0.07712261356398979,-0.012649087612600207,30.301966404278918
0x3da7d21f1a06c7ce19ee593f76148fae6e952ca3,13573764,13573775,2021-11-08,2021-11-08,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,46436.55048788342,46436.550487883425,46436.550487883425,7.275957614183426e-12,7.275957614183426e-12,1.5668600569462895e-16,1.5668600569462895e-16,0.0,0
0x3da7d21f1a06c7ce19ee593f76148fae6e952ca3,13573827,14216391,2021-11-08,2022-02-16,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,46436.55048788342,26736.027170035424,19800.569370703375,-19700.523317847994,-26635.981117180043,-0.4242460542582379,-0.5735994779399066,0.35026557416038995,3649.6340658596137
0x3e42438be8fd93ba4488a12c1c036457183ae1cb,13496213,14254132,2021-10-27,2022-02-22,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5295.4341050137855,2993.556354487135,2487.608234792441,-2301.8777505266503,-2807.8258702213443,-0.4346910385207518,-0.5302352582506613,0.20338737933825374,0.004170607174350134
0x4013ef4d19003e4c1b68bd599c62dd31ccf3772f,13294327,13970861,2021-09-25,2022-01-09,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1468.6001302805244,1306.0305956256907,918.4309389706262,-162.56953465483366,-550.1691913098981,-0.11069693601605529,-0.3746215051777284,0.4220237365800031,7.844626909041995
0x4062b997279de7213731dbe00485722a26718892,12597999,12946162,2021-06-09,2021-08-02,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1860.993402976939,2115.7971401016107,2331.2004006663897,254.80373712467167,470.20699768945065,0.1369181302400507,0.25266451613277285,-0.09240014736751266,40.01843932276676
0x4064023610a479f9a0415ee98f87895a0e2e0884,12168319,12188957,2021-04-03,2021-04-07,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,32720.483607676513,33065.825981716356,26838.79369832996,345.342374039843,-5881.6899093465545,0.010554317539451729,-0.17975559224212256,0.23201610152001256,51.01043028535924
0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,11724064,12238137,2021-01-25,2021-04-14,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6073.8506824187725,6878.792808445576,4905.904169123204,804.9421260268036,-1167.9465132955684,0.13252583379383534,-0.1922909492451435,0.40214577605069113,0.004874067349759604
0x42d83ad418e1e35171de7f4fe1b4fd4e5991a096,14408124,14575150,2022-03-18,2022-04-13,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,908.0049295772951,1211.7362579885373,1194.2916641372876,303.7313284112422,286.2867345599925,0.33450405225513336,0.31529204879236505,0.014606644570236556,12.182533555731602
0x42e2d0459ec3a588fab016e36255bb6653f651c3,14431643,14780942,2022-03-21,2022-05-15,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2933.866813581753,1559.4002201665278,1090.2911682442073,-1374.4665934152251,-1843.5756453375457,-0.46848295466324696,-0.6283774153629192,0.4302603429116724,0
0x4a75afb7150e01aeb3e74491638bc90f0739549e,13902398,14584975,2021-12-29,2022-04-14,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,66470.13763483864,68039.74015143698,75723.14161696787,1569.6025165983447,9253.00398212923,0.02361364926339008,0.13920542835282926,-0.10146701921581666,364.23825130694235
0x4b581deda2f2c0650c3dfc506c86a8c140d9f699,13569970,13880392,2021-11-07,2021-12-26,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,62410.40938625986,115722.49048709674,42109.21559836763,53312.081100836884,-20301.193787892233,0.8542177759304036,-0.325285380876891,1.7481511788498563,299.61977535460295
0x4bc78d61ccd5f4630e27742560b0c97de5262172,13610924,14827454,2021-11-14,2022-05-23,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1840.5500641947467,699.3619484146019,463.90607081719406,-1141.188115780145,-1376.6439933775528,-0.6200255771251855,-0.7479524845089416,0.5075507573820717,23.404926580477607
0x4e57c67a664dc6e48d9b2a30a033643e8c2fa1ba,11730707,12470666,2021-01-26,2021-05-20,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,193.91072765833937,482.0509293948278,406.9142367809069,288.1402017364884,213.00350912256752,1.4859425531328854,1.0984617081003825,0.18464994788171157,11.462599945632935
0x4e83362442b8d1bec281594cea3050c8eb01311c,13087737,13363667,2021-08-24,2021-10-06,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,404700.32918649015,309092.47721359256,250889.93397336188,-95607.8519728976,-153810.39521312827,-0.23624357352286832,-0.3800599706017309,0.2319843698727678,0.3558859577764074
0x50a7737785550d626508e70f93f6ade68d24e33a,12175650,12181462,2021-04-04,2021-04-05,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10795.903155521744,11817.05300386,11254.311893622147,1021.1498483382566,458.40873810040284,0.09458679219588706,0.04246136071218294,0.0500022671805249,0
0x50c3156ee21bf82ef1d8a4c2dacb6ca2bda49adb,12971953,13022049,2021-08-06,2021-08-14,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,129294.20643858546,131182.48301199632,115278.45792607857,1888.2765734108543,-14015.748512506892,0.014604494860392546,-0.10840198411492127,0.13796181326537246,516.6155338862961
0x51d679666d6a24653f1fae57a8b1a04f69abab99,11759873,11857201,2021-01-30,2021-02-14,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6729.0112184757345,7937.516711281668,9133.556660561797,1208.5054928059335,2404.5454420860624,0.17959629633069418,0.3573400851946779,-0.13095007714186135,0
0x5b7dcb8ce882f3d4c953c9f9d79e08730efe4939,12489513,12566262,2021-05-23,2021-06-04,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4100.0304151619375,4119.279834417287,4382.328276703688,19.249419255349494,282.29786154175054,0.004694945477517685,0.06885262618975004,-0.06002481459108343,36.89107100638353
0x5b98eacfa9c8c5c519dad5d6c6888980a0e61db1,13259891,14613245,2021-09-20,2022-04-19,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,81645.58765347431,61150.910867126826,41544.82799861638,-20494.67678634749,-40100.75965485793,-0.2510200168235958,-0.49115648263879574,0.47192596077575305,963.1998774873695
0x5bfa69517e17411beda54ea2d3672709f4867254,11811894,12256503,2021-02-07,2021-04-17,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2201.029565977061,1975.4618423665524,1065.9668875908935,-225.56772361050844,-1135.0626783861674,-0.1024828230830132,-0.5156962432180237,0.8532112632796087,54.94014102696276
0x5c9e30def85334e587cf36eb07bdd6a72bf1452d,13227375,14876112,2021-09-15,2022-05-31,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,128400.3648263365,54890.95429260171,32339.992470618003,-73509.4105337348,-96060.3723557185,-0.5725015706392846,-0.748131615401885,0.6973088148512104,6976.443455875716
0x5ed2b0ba63c6d5a82b91b61b500d58078486348d,12975485,13426071,2021-08-07,2021-10-16,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,254.2809190585529,204.33940947437637,147.18040156067516,-49.94150958417654,-107.10051749787775,-0.1964028986881103,-0.4211897530275005,0.38836018455988097,0
0x61174b7e5e11139f79e6c0f07784373e86d90858,14606670,14919056,2022-04-18,2022-06-07,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13601.901020817637,9218.04087393109,7958.019094310757,-4383.860146886547,-5643.88192650688,-0.3222976067960701,-0.4149333183552026,0.158333595922273,74.77741971587062
0x611eff619f1ad3e359823b661edaf224452eec14,13158206,13607799,2021-09-04,2021-11-13,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16226.18175299742,22716.93537880799,20097.06064138877,6490.75362581057,3870.8788883913494,0.40001731304479876,0.2385575945909944,0.13036109031903578,2184.8880889275174
0x617edca70efb4be0a42f1a83dc1d6cc84613e158,13436037,14714227,2021-10-17,2022-05-05,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10727.046744591886,12681.664604789898,12048.2157530982,1954.6178601980118,1321.1690085063146,0.18221397806282943,0.12316241738877395,0.0525761544010204,0.0030641420933614585
